Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Математика и Информатика
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Биология и География
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Биология и Химия
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Начальное образование и Дошкольное образование
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Дополнительное образование (образование в области хореографии) и Мировая художественная культура
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Изобразительное искусство и Дополнительное образование
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Изобразительное искусство и Мировая художественная культура
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Искусство и Дополнительное образование
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Музыка и Дополнительное образование
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Музыка и Мировая художественная культура
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Хореографическое искусство и Дополнительное образование
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Иностранный (англ.) язык и Иностранный (немецкий) язык
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Иностранный (англ.) язык и Иностранный (французский) язык
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Иностранный (английский) язык и Русский язык как иностранный
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);История и Обществознание
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);История и Право
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Русский язык и Литература
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Управление и право в сфере образования и Дополнительное образование
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Технология и Безопасность жизнедеятельности
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Экономика и Право
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Математика и Физика
Бакалавриат;Педагогическое образование (с двумя профилями подготовки);Физическая культура и Дополнительное образование
Бакалавриат;Педагогическое образование;Дошкольное образование
Бакалавриат;Педагогическое образование;Начальное образование
Бакалавриат;Педагогическое образование;Дополнительное образование в области культуры и культурно-просветительская деятельность
Бакалавриат;Педагогическое образование;Иностранный (английский) язык
Бакалавриат;Педагогическое образование;Русский язык как иностранный
Бакалавриат;Педагогическое образование;Право
Бакалавриат;Педагогическое образование;Правовое образование
Бакалавриат;Педагогическое образование;Безопасность жизнедеятельности
Бакалавриат;Педагогическое образование;Технология
Бакалавриат;Педагогическое образование;Физическая культура
Бакалавриат;Лингвистика;Перевод и переводоведение (английский язык)
Бакалавриат;Лингвистика;Перевод и переводоведение (английский язык–немецкий язык, английский язык–французский язык, английский язык–китайский язык)
Бакалавриат;Экономика;Финансы и кредит
Бакалавриат;Экономика;Экономика в социальной сфере
Бакалавриат;Менеджмент;Государственное и муниципальное управление
Бакалавриат;Менеджмент;Менеджмент в социальной сфере
Бакалавриат;Профессиональное обучение;Воспроизводство и переработка лесных ресурсов
Бакалавриат;Профессиональное обучение;Декоративно-прикладное искусство и дизайн
Бакалавриат;Профессиональное обучение;Конструирование, технология и дизайн одежды
Бакалавриат;Профессиональное обучение;Сервис ресторанного бизнеса
Бакалавриат;Профессиональное обучение;Транспорт
Бакалавриат;Информационные системы и технологии;Информационные технологии в образовании
Бакалавриат;Психолого-педагогическое образование;Психология и социальная педагогика
Бакалавриат;Психолого-педагогическое образование;Психология образования
Бакалавриат;Психолого-педагогическое образование;Специальная психология и педагогика
Бакалавриат;Специальное (дефектологическое) образование;Логопедия
Бакалавриат;Специальное (дефектологическое) образование;Олигофренопедагогика
Специалитет;Перевод и переводоведение;Специальный перевод
Специалитет;Педагогика и психология девиантного поведения;Психолого-педагогическая профилактика девиантного поведения несовершеннолетних
Специалитет;Педагогика и психология девиантного поведения;Психолого-педагогическая профилактика девиантного поведения
Магистратура;Педагогическое образование;Биолого-химическое образование
Магистратура;Педагогическое образование;Проектирование образовательной среды в области биолого-химического образования
Магистратура;Педагогическое образование;Артпедагогика в социокультурной среде
Магистратура;Педагогическое образование;Искусство
Магистратура;Педагогическое образование;Управление в сфере культуры
Магистратура;Педагогическое образование;Иностранный (английский–немецкий, английский–французский) язык
Магистратура;Педагогическое образование;Иноязычное образование (английский–немецкий языки, английский–французский языки)
Магистратура;Педагогическое образование;Лингвокультурология
Магистратура;Педагогическое образование;Педагогика сельской школы
Магистратура;Педагогическое образование;Управление в сфере образования
Магистратура;Педагогическое образование;Инноватика в социогуманитарном образовании
Магистратура;Педагогическое образование;Историческое образование
Магистратура;Педагогическое образование;Русский язык как иностранный
Магистратура;Педагогическое образование;Филологическое образование
Магистратура;Педагогическое образование;Безопасность жизнедеятельности
Магистратура;Педагогическое образование;Профессиональное обучение
Магистратура;Педагогическое образование;Методология проектирования экосистем математического и естественнонаучного образования
Магистратура;Педагогическое образование;Проектирование образовательной среды в STEAM
Магистратура;Педагогическое образование;Физико-математическое образование
Магистратура;Педагогическое образование;Технологии фитнес образования
Магистратура;Педагогическое образование;Физическая культура
Магистратура;Психолого-педагогическое образование;Проектирование воспитательного пространства детства
Магистратура;Психолого-педагогическое образование;Психология и педагогика начального образования
Магистратура;Психолого-педагогическое образование;Психология и педагогика развития дошкольника
Магистратура;Психолого-педагогическое образование;Педагогика и психология образования
Магистратура;Психолого-педагогическое образование;Практическая психология и консультирование в образовании
Магистратура;Психолого-педагогическое образование;Практическая психология и педагогика
Магистратура;Психолого-педагогическое образование;Профориентация и карьерное консультирование
Магистратура;Психолого-педагогическое образование;Управление человеческими ресурсами
